,Test Year,Cost,Algorithm,BestModel,Predictors
0,2015,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   n_estimators=70)",BMK1 and BMK2
1,2015,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   n_estimators=70)",BMK1 and BMK2
2,2015,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   n_estimators=70)",BMK1 and BMK2
3,2015,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   n_estimators=70)",BMK1 and BMK2
4,2015,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   n_estimators=70)",BMK1 and BMK2
6,2016,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5, n_estimators=70)",BMK1 and BMK2
7,2016,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5, n_estimators=70)",BMK1 and BMK2
8,2016,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5, n_estimators=70)",BMK1 and BMK2
9,2016,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5, n_estimators=70)",BMK1 and BMK2
10,2016,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5, n_estimators=70)",BMK1 and BMK2
12,2017,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=30)",BMK1 and BMK2
13,2017,20,AB,AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1)),BMK1 and BMK2
14,2017,30,AB,AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1)),BMK1 and BMK2
15,2017,40,AB,AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1)),BMK1 and BMK2
16,2017,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=0.5, n_estimators=30)",BMK1 and BMK2
18,2015,1,LR,LogisticRegression(C=10.0),BMK1 and BMK2
19,2015,20,LR,"LogisticRegression(C=0.1, penalty='none')",BMK1 and BMK2
20,2015,30,LR,"LogisticRegression(C=0.1, penalty='none')",BMK1 and BMK2
21,2015,40,LR,"LogisticRegression(C=0.1, penalty='none')",BMK1 and BMK2
22,2015,50,LR,"LogisticRegression(C=0.1, penalty='none')",BMK1 and BMK2
24,2016,1,LR,"LogisticRegression(C=0.1, penalty='none')",BMK1 and BMK2
25,2016,20,LR,"LogisticRegression(C=0.1, penalty='none')",BMK1 and BMK2
26,2016,30,LR,"LogisticRegression(C=0.1, penalty='none')",BMK1 and BMK2
27,2016,40,LR,"LogisticRegression(C=0.1, penalty='none')",BMK1 and BMK2
28,2016,50,LR,"LogisticRegression(C=0.1, penalty='none')",BMK1 and BMK2
30,2017,1,LR,"LogisticRegression(C=0.1, solver='sag')",BMK1 and BMK2
31,2017,20,LR,"LogisticRegression(C=0.1, solver='sag')",BMK1 and BMK2
32,2017,30,LR,"LogisticRegression(C=0.1, solver='sag')",BMK1 and BMK2
33,2017,40,LR,"LogisticRegression(C=0.1, solver='sag')",BMK1 and BMK2
34,2017,50,LR,"LogisticRegression(C=0.1, solver='sag')",BMK1 and BMK2
36,2015,1,SVM,"SVC(C=0.1, kernel='linear')",BMK1 and BMK2
37,2015,20,SVM,"SVC(C=10.0, kernel='linear')",BMK1 and BMK2
38,2015,30,SVM,"SVC(C=10.0, gamma='auto')",BMK1 and BMK2
39,2015,40,SVM,"SVC(C=10.0, kernel='linear')",BMK1 and BMK2
40,2015,50,SVM,"SVC(C=10.0, kernel='linear')",BMK1 and BMK2
42,2016,1,SVM,"SVC(C=0.1, kernel='linear')",BMK1 and BMK2
43,2016,20,SVM,"SVC(C=0.1, kernel='linear')",BMK1 and BMK2
44,2016,30,SVM,SVC(kernel='linear'),BMK1 and BMK2
45,2016,40,SVM,SVC(kernel='linear'),BMK1 and BMK2
46,2016,50,SVM,"SVC(C=10.0, kernel='poly')",BMK1 and BMK2
48,2017,1,SVM,SVC(C=10.0),BMK1 and BMK2
49,2017,20,SVM,SVC(kernel='linear'),BMK1 and BMK2
50,2017,30,SVM,SVC(C=10.0),BMK1 and BMK2
51,2017,40,SVM,SVC(gamma='auto'),BMK1 and BMK2
52,2017,50,SVM,SVC(gamma='auto'),BMK1 and BMK2
54,2015,1,GB,GradientBoostingClassifier(max_features='sqrt'),BMK1 and BMK2
55,2015,20,GB,GradientBoostingClassifier(max_features='sqrt'),BMK1 and BMK2
56,2015,30,GB,GradientBoostingClassifier(max_features='sqrt'),BMK1 and BMK2
57,2015,40,GB,GradientBoostingClassifier(max_features='sqrt'),BMK1 and BMK2
58,2015,50,GB,GradientBoostingClassifier(max_features='sqrt'),BMK1 and BMK2
60,2016,1,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)",BMK1 and BMK2
61,2016,20,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)",BMK1 and BMK2
62,2016,30,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)",BMK1 and BMK2
63,2016,40,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)",BMK1 and BMK2
64,2016,50,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt', min_samples_leaf=3,
                           min_samples_split=6)",BMK1 and BMK2
66,2017,1,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)",BMK1 and BMK2
67,2017,20,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)",BMK1 and BMK2
68,2017,30,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)",BMK1 and BMK2
69,2017,40,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)",BMK1 and BMK2
70,2017,50,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)",BMK1 and BMK2
72,2015,1,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)",BMK1 and BMK2
73,2015,20,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)",BMK1 and BMK2
74,2015,30,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)",BMK1 and BMK2
75,2015,40,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)",BMK1 and BMK2
76,2015,50,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)",BMK1 and BMK2
78,2016,1,RF,"RandomForestClassifier(max_depth=5, min_samples_split=5, n_estimators=50)",BMK1 and BMK2
79,2016,20,RF,"RandomForestClassifier(max_depth=5, min_samples_split=5, n_estimators=50)",BMK1 and BMK2
80,2016,30,RF,"RandomForestClassifier(max_depth=5, min_samples_split=5, n_estimators=50)",BMK1 and BMK2
81,2016,40,RF,"RandomForestClassifier(max_depth=5, min_samples_split=5, n_estimators=50)",BMK1 and BMK2
82,2016,50,RF,"RandomForestClassifier(max_depth=5, min_samples_split=5, n_estimators=50)",BMK1 and BMK2
84,2017,1,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=10)",BMK1 and BMK2
85,2017,20,RF,"RandomForestClassifier(max_depth=10, n_estimators=200)",BMK1 and BMK2
86,2017,30,RF,"RandomForestClassifier(max_depth=10, n_estimators=200)",BMK1 and BMK2
87,2017,40,RF,"RandomForestClassifier(max_depth=10, n_estimators=200)",BMK1 and BMK2
88,2017,50,RF,"RandomForestClassifier(max_depth=10, n_estimators=200)",BMK1 and BMK2
90,2015,1,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=0.5, eta=0.2, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.200000003, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1.0,
              tree_method='exact', validate_parameters=1, verbosity=None)",BMK1 and BMK2
91,2015,20,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=0.5, eta=0.2, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.200000003, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1.0,
              tree_method='exact', validate_parameters=1, verbosity=None)",BMK1 and BMK2
92,2015,30,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=0.5, eta=0.2, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.200000003, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1.0,
              tree_method='exact', validate_parameters=1, verbosity=None)",BMK1 and BMK2
93,2015,40,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=0.5, eta=0.2, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.200000003, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1.0,
              tree_method='exact', validate_parameters=1, verbosity=None)",BMK1 and BMK2
94,2015,50,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=0.5, eta=0.2, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.200000003, max_delta_step=0, max_depth=6,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1.0,
              tree_method='exact', validate_parameters=1, verbosity=None)",BMK1 and BMK2
96,2016,1,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)",BMK1 and BMK2
97,2016,20,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)",BMK1 and BMK2
98,2016,30,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)",BMK1 and BMK2
99,2016,40,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)",BMK1 and BMK2
100,2016,50,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.3, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=5, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)",BMK1 and BMK2
102,2017,1,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.2, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.200000003, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1.0,
              tree_method='exact', validate_parameters=1, verbosity=None)",BMK1 and BMK2
103,2017,20,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.2, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.200000003, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1.0,
              tree_method='exact', validate_parameters=1, verbosity=None)",BMK1 and BMK2
104,2017,30,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.2, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.200000003, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1.0,
              tree_method='exact', validate_parameters=1, verbosity=None)",BMK1 and BMK2
105,2017,40,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.2, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.200000003, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1.0,
              tree_method='exact', validate_parameters=1, verbosity=None)",BMK1 and BMK2
106,2017,50,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1.0, eta=0.2, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.200000003, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1.0,
              tree_method='exact', validate_parameters=1, verbosity=None)",BMK1 and BMK2
