,Test Year,Cost,Algorithm,BestModel,Predictors
0,2015,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=30)",BMK1
12,2015,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)",BMK1
18,2015,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5, n_estimators=30)",BMK1
24,2015,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5, n_estimators=30)",BMK1
30,2015,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5, n_estimators=30)",BMK1
48,2016,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)",BMK1
60,2016,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5, n_estimators=70)",BMK1
66,2016,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5, n_estimators=70)",BMK1
72,2016,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5, n_estimators=70)",BMK1
78,2016,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5, n_estimators=70)",BMK1
96,2017,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)",BMK1
108,2017,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5)",BMK1
114,2017,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)",BMK1
120,2017,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)",BMK1
126,2017,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)",BMK1
144,2015,1,LR,"LogisticRegression(C=0.1, penalty='none')",BMK1
148,2015,20,LR,"LogisticRegression(C=0.1, penalty='none')",BMK1
150,2015,30,LR,"LogisticRegression(C=0.1, penalty='none')",BMK1
152,2015,40,LR,"LogisticRegression(C=0.1, penalty='none')",BMK1
154,2015,50,LR,"LogisticRegression(C=0.1, penalty='none')",BMK1
160,2016,1,LR,LogisticRegression(solver='saga'),BMK1
164,2016,20,LR,"LogisticRegression(C=0.1, solver='saga')",BMK1
166,2016,30,LR,"LogisticRegression(C=0.1, solver='saga')",BMK1
168,2016,40,LR,"LogisticRegression(C=0.1, solver='saga')",BMK1
