,Test Year,Cost,Algorithm,BestModel,Predictors
64,2015,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=0.5, n_estimators=30)",raw ARVs
68,2015,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)",raw ARVs
70,2015,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=30)",raw ARVs
72,2015,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=30)",raw ARVs
74,2015,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=30)",raw ARVs
80,2016,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)",raw ARVs
84,2016,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)",raw ARVs
86,2016,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)",raw ARVs
88,2016,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)",raw ARVs
90,2016,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5, n_estimators=30)",raw ARVs
96,2017,1,AB,AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1)),raw ARVs
100,2017,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=70)",raw ARVs
102,2017,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=70)",raw ARVs
104,2017,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=70)",raw ARVs
106,2017,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=70)",raw ARVs
176,2015,1,LR,"LogisticRegression(C=0.1, solver='sag')",raw ARVs
180,2015,20,LR,"LogisticRegression(C=0.1, solver='sag')",raw ARVs
182,2015,30,LR,LogisticRegression(solver='saga'),raw ARVs
184,2015,40,LR,LogisticRegression(solver='saga'),raw ARVs
186,2015,50,LR,LogisticRegression(solver='saga'),raw ARVs
192,2016,1,LR,"LogisticRegression(C=0.1, solver='saga')",raw ARVs
196,2016,20,LR,"LogisticRegression(C=0.1, solver='saga')",raw ARVs
198,2016,30,LR,"LogisticRegression(C=0.1, solver='saga')",raw ARVs
200,2016,40,LR,"LogisticRegression(C=0.1, solver='saga')",raw ARVs
202,2016,50,LR,"LogisticRegression(C=0.1, solver='saga')",raw ARVs
208,2017,1,LR,LogisticRegression(),raw ARVs
212,2017,20,LR,"LogisticRegression(C=10.0, penalty='none', solver='sag')",raw ARVs
214,2017,30,LR,"LogisticRegression(penalty='none', solver='sag')",raw ARVs
216,2017,40,LR,"LogisticRegression(C=0.1, penalty='none', solver='sag')",raw ARVs
218,2017,50,LR,"LogisticRegression(C=0.1, penalty='none', solver='sag')",raw ARVs
288,2015,1,SVM,SVC(C=10.0),raw ARVs
292,2015,20,SVM,SVC(C=10.0),raw ARVs
294,2015,30,SVM,SVC(C=10.0),raw ARVs
296,2015,40,SVM,SVC(C=10.0),raw ARVs
298,2015,50,SVM,SVC(C=10.0),raw ARVs
304,2016,1,SVM,SVC(C=10.0),raw ARVs
308,2016,20,SVM,"SVC(C=10.0, kernel='poly')",raw ARVs
310,2016,30,SVM,SVC(kernel='linear'),raw ARVs
312,2016,40,SVM,"SVC(C=10.0, kernel='poly')",raw ARVs
314,2016,50,SVM,SVC(kernel='linear'),raw ARVs
320,2017,1,SVM,"SVC(C=10.0, kernel='poly')",raw ARVs
324,2017,20,SVM,SVC(kernel='linear'),raw ARVs
326,2017,30,SVM,SVC(kernel='linear'),raw ARVs
328,2017,40,SVM,SVC(kernel='linear'),raw ARVs
330,2017,50,SVM,SVC(kernel='linear'),raw ARVs
400,2015,1,GB,"GradientBoostingClassifier(max_features='auto', min_samples_split=6)",raw ARVs
404,2015,20,GB,GradientBoostingClassifier(max_features='sqrt'),raw ARVs
406,2015,30,GB,GradientBoostingClassifier(max_features='sqrt'),raw ARVs
408,2015,40,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=4)",raw ARVs
410,2015,50,GB,"GradientBoostingClassifier(max_features='sqrt', min_samples_split=4)",raw ARVs
416,2016,1,GB,"GradientBoostingClassifier(max_depth=5, min_samples_split=4)",raw ARVs
420,2016,20,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto',
                           min_samples_split=6)",raw ARVs
422,2016,30,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto',
                           min_samples_split=6)",raw ARVs
424,2016,40,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto',
                           min_samples_split=6)",raw ARVs
426,2016,50,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto',
                           min_samples_split=6)",raw ARVs
432,2017,1,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)",raw ARVs
436,2017,20,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)",raw ARVs
438,2017,30,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)",raw ARVs
440,2017,40,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)",raw ARVs
442,2017,50,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)",raw ARVs
512,2015,1,RF,"RandomForestClassifier(max_depth=10, min_samples_split=10, n_estimators=50)",raw ARVs
516,2015,20,RF,"RandomForestClassifier(max_depth=10, min_samples_split=10, n_estimators=50)",raw ARVs
518,2015,30,RF,"RandomForestClassifier(max_depth=10, min_samples_split=10, n_estimators=50)",raw ARVs
520,2015,40,RF,"RandomForestClassifier(max_depth=5, n_estimators=50)",raw ARVs
522,2015,50,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)",raw ARVs
528,2016,1,RF,"RandomForestClassifier(max_depth=3, n_estimators=200)",raw ARVs
532,2016,20,RF,"RandomForestClassifier(max_depth=3, n_estimators=200)",raw ARVs
534,2016,30,RF,"RandomForestClassifier(max_depth=3, n_estimators=200)",raw ARVs
536,2016,40,RF,"RandomForestClassifier(max_depth=3, n_estimators=200)",raw ARVs
538,2016,50,RF,"RandomForestClassifier(max_depth=3, n_estimators=200)",raw ARVs
544,2017,1,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5)",raw ARVs
548,2017,20,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5)",raw ARVs
550,2017,30,RF,"RandomForestClassifier(max_depth=3, min_samples_split=5)",raw ARVs
552,2017,40,RF,"RandomForestClassifier(max_depth=5, n_estimators=200)",raw ARVs
554,2017,50,RF,"RandomForestClassifier(max_depth=5, n_estimators=50)",raw ARVs
624,2015,1,XGB,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=0.5, eta=0.2, gamma=0,
              gpu_id=-1, importance_type='gain', interaction_constraints='',
              learning_rate=0.200000003, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=0.5,
              tree_method='exact', validate_parameters=1, verbosity=None)",raw ARVs
