,Test Year,Cost,Algorithm,BestModel,Predictors
192,2015,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=30)",theory ARVs
204,2015,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=30)",theory ARVs
210,2015,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5)",theory ARVs
216,2015,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5)",theory ARVs
222,2015,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=1.5)",theory ARVs
240,2016,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   n_estimators=70)",theory ARVs
252,2016,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   n_estimators=70)",theory ARVs
258,2016,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   n_estimators=70)",theory ARVs
264,2016,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   n_estimators=70)",theory ARVs
270,2016,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   n_estimators=70)",theory ARVs
288,2017,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5)",theory ARVs
300,2017,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=70)",theory ARVs
306,2017,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=70)",theory ARVs
312,2017,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=70)",theory ARVs
318,2017,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=70)",theory ARVs
528,2015,1,LR,LogisticRegression(solver='sag'),theory ARVs
540,2015,20,LR,LogisticRegression(),theory ARVs
546,2015,30,LR,LogisticRegression(),theory ARVs
552,2015,40,LR,"LogisticRegression(penalty='none', solver='sag')",theory ARVs
558,2015,50,LR,"LogisticRegression(C=10.0, solver='sag')",theory ARVs
576,2016,1,LR,"LogisticRegression(penalty='none', solver='saga')",theory ARVs
